"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 31 00:11:19 CDT 2022","Wed Aug 31 00:11:34 CDT 2022","14698","chromium","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should be able to login with valid credencials",""
"passed","Wed Aug 31 00:12:02 CDT 2022","Wed Aug 31 00:12:07 CDT 2022","4302","iPad Pro","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should see error meesage if only type email",""
"passed","Wed Aug 31 00:11:50 CDT 2022","Wed Aug 31 00:11:56 CDT 2022","6084","webkit","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should see error message if i just click submit without credentials",""
"passed","Wed Aug 31 00:11:33 CDT 2022","Wed Aug 31 00:11:47 CDT 2022","13611","firefox","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should be able to login with valid credencials",""
"passed","Wed Aug 31 00:11:51 CDT 2022","Wed Aug 31 00:11:57 CDT 2022","6078","webkit","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should see error message if only type password",""
"passed","Wed Aug 31 00:11:19 CDT 2022","Wed Aug 31 00:11:29 CDT 2022","10282","chromium","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should see error message if i just click submit without credentials",""
"passed","Wed Aug 31 00:11:38 CDT 2022","Wed Aug 31 00:11:49 CDT 2022","11258","firefox","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should see error meesage if only type email",""
"passed","Wed Aug 31 00:12:01 CDT 2022","Wed Aug 31 00:12:05 CDT 2022","4536","iPad Pro","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should see error message if only type password",""
"passed","Wed Aug 31 00:11:33 CDT 2022","Wed Aug 31 00:11:43 CDT 2022","9848","firefox","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should see error message if only type password",""
"passed","Wed Aug 31 00:11:57 CDT 2022","Wed Aug 31 00:12:03 CDT 2022","5509","iPad Pro","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should not login with invalid credentials",""
"passed","Wed Aug 31 00:11:19 CDT 2022","Wed Aug 31 00:11:30 CDT 2022","10731","chromium","DragNDrop/test/dragNdrop.spec.ts","TodoIst Demo","","","As an standar user i should be able to drag the widget to trash target",""
"passed","Wed Aug 31 00:11:33 CDT 2022","Wed Aug 31 00:11:44 CDT 2022","11094","firefox","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should see error message if i just click submit without credentials",""
"passed","Wed Aug 31 00:11:48 CDT 2022","Wed Aug 31 00:12:00 CDT 2022","11479","webkit","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should be able to login with valid credencials",""
"passed","Wed Aug 31 00:11:33 CDT 2022","Wed Aug 31 00:11:43 CDT 2022","9890","firefox","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should not login with invalid credentials",""
"passed","Wed Aug 31 00:11:49 CDT 2022","Wed Aug 31 00:11:55 CDT 2022","6296","webkit","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should not login with invalid credentials",""
"passed","Wed Aug 31 00:11:58 CDT 2022","Wed Aug 31 00:12:04 CDT 2022","5401","iPad Pro","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should see error message if i just click submit without credentials",""
"passed","Wed Aug 31 00:11:57 CDT 2022","Wed Aug 31 00:12:01 CDT 2022","4754","iPad Pro","DragNDrop/test/dragNdrop.spec.ts","TodoIst Demo","","","As an standar user i should be able to drag the widget to trash target",""
"passed","Wed Aug 31 00:11:48 CDT 2022","Wed Aug 31 00:11:55 CDT 2022","6356","webkit","DragNDrop/test/dragNdrop.spec.ts","TodoIst Demo","","","As an standar user i should be able to drag the widget to trash target",""
"passed","Wed Aug 31 00:11:19 CDT 2022","Wed Aug 31 00:11:29 CDT 2022","10305","chromium","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should not login with invalid credentials",""
"passed","Wed Aug 31 00:11:33 CDT 2022","Wed Aug 31 00:11:45 CDT 2022","11990","firefox","DragNDrop/test/dragNdrop.spec.ts","TodoIst Demo","","","As an standar user i should be able to drag the widget to trash target",""
"passed","Wed Aug 31 00:11:57 CDT 2022","Wed Aug 31 00:12:05 CDT 2022","8451","iPad Pro","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should be able to login with valid credencials",""
"passed","Wed Aug 31 00:11:19 CDT 2022","Wed Aug 31 00:11:30 CDT 2022","10667","chromium","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should see error message if only type password",""
"passed","Wed Aug 31 00:11:19 CDT 2022","Wed Aug 31 00:11:30 CDT 2022","10542","chromium","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should see error meesage if only type email",""
"passed","Wed Aug 31 00:11:53 CDT 2022","Wed Aug 31 00:11:59 CDT 2022","6081","webkit","FrontEnd/tests/login.spec.ts","TodoIst Demo","","","As an standar user i should see error meesage if only type email",""
